2024-05-30 16:35:56.073, Motor_106_Per_Actual_Speed, REAL, 70.0
2024-05-30 16:35:56.089, Motor_106_Per_Actual_Current, REAL, 69.13
2024-05-30 16:35:56.098, Motor_106_Per_Actual_Power, REAL, 67.95
2024-05-30 16:35:56.108, Motor_106_Per_Actual_Torque, REAL, 70.0
2024-05-30 16:35:56.123, Motor_107_Start_PB, BOOL, True
2024-05-30 16:35:56.133, Motor_107_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:56.161, Motor_107_Actual_Speed, REAL, 1200.0
2024-05-30 16:35:56.187, Motor_107_Actual_Current, REAL, 9.6
2024-05-30 16:35:56.239, Motor_107_Actual_Power, REAL, 7.8
2024-05-30 16:35:56.263, Motor_107_Actual_Torque, REAL, 40.0
2024-05-30 16:35:56.285, Motor_107_Per_Actual_Speed, REAL, 80.0
2024-05-30 16:35:56.299, Motor_107_Per_Actual_Current, REAL, 79.96
2024-05-30 16:35:56.311, Motor_107_Per_Actual_Power, REAL, 77.95
2024-05-30 16:35:56.322, Motor_107_Per_Actual_Torque, REAL, 80.0
2024-05-30 16:35:56.333, Motor_108_Start_PB, BOOL, True
2024-05-30 16:35:56.345, Motor_108_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:56.355, Motor_108_Actual_Speed, REAL, 1350.0
2024-05-30 16:35:56.366, Motor_108_Actual_Current, REAL, 10.8
2024-05-30 16:35:56.378, Motor_108_Actual_Power, REAL, 9.0
2024-05-30 16:35:56.388, Motor_108_Actual_Torque, REAL, 45.0
2024-05-30 16:35:56.399, Motor_108_Per_Actual_Speed, REAL, 90.0
2024-05-30 16:35:56.411, Motor_108_Per_Actual_Current, REAL, 89.96
2024-05-30 16:35:56.425, Motor_108_Per_Actual_Power, REAL, 89.95
2024-05-30 16:35:56.435, Motor_108_Per_Actual_Torque, REAL, 90.0
2024-05-30 16:35:56.446, Motor_109_Start_PB, BOOL, True
2024-05-30 16:35:56.456, Motor_109_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:56.467, Motor_109_Actual_Speed, REAL, 1500.0
2024-05-30 16:35:56.479, Motor_109_Actual_Current, REAL, 11.8
2024-05-30 16:35:56.489, Motor_109_Actual_Power, REAL, 10.0
2024-05-30 16:35:56.499, Motor_109_Actual_Torque, REAL, 50.0
2024-05-30 16:35:56.513, Motor_109_Per_Actual_Speed, REAL, 100.0
2024-05-30 16:35:56.523, Motor_109_Per_Actual_Current, REAL, 98.29
2024-05-30 16:35:56.534, Motor_109_Per_Actual_Power, REAL, 99.95
2024-05-30 16:35:56.547, Motor_109_Per_Actual_Torque, REAL, 100.0
2024-05-30 16:35:59.899, Motor_100_Start_PB, BOOL, True
2024-05-30 16:35:59.916, Motor_100_Motor_ON_CMD, BOOL, True
2024-05-30 16:35:59.942, Motor_100_Actual_Speed, REAL, 150.0
2024-05-30 16:35:59.982, Motor_100_Actual_Current, REAL, 1.2
2024-05-30 16:36:00.014, Motor_100_Actual_Power, REAL, 1.0
2024-05-30 16:36:00.048, Motor_100_Actual_Torque, REAL, 5.0
2024-05-30 16:36:00.060, Motor_100_Per_Actual_Speed, REAL, 10.0
2024-05-30 16:36:00.072, Motor_100_Per_Actual_Current, REAL, 10.0
2024-05-30 16:36:00.083, Motor_100_Per_Actual_Power, REAL, 10.0
2024-05-30 16:36:00.094, Motor_100_Per_Actual_Torque, REAL, 10.0
2024-05-30 16:36:00.107, Motor_101_Start_PB, BOOL, True
2024-05-30 16:36:00.118, Motor_101_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:00.131, Motor_101_Actual_Speed, REAL, 300.0
2024-05-30 16:36:00.161, Motor_101_Actual_Current, REAL, 2.2
2024-05-30 16:36:00.183, Motor_101_Actual_Power, REAL, 1.9
2024-05-30 16:36:00.214, Motor_101_Actual_Torque, REAL, 10.0
2024-05-30 16:36:00.227, Motor_101_Per_Actual_Speed, REAL, 20.0
2024-05-30 16:36:00.240, Motor_101_Per_Actual_Current, REAL, 18.34
2024-05-30 16:36:00.250, Motor_101_Per_Actual_Power, REAL, 19.01
2024-05-30 16:36:00.260, Motor_101_Per_Actual_Torque, REAL, 20.0
2024-05-30 16:36:00.270, Motor_102_Start_PB, BOOL, True
2024-05-30 16:36:00.283, Motor_102_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:00.297, Motor_102_Actual_Speed, REAL, 440.0
2024-05-30 16:36:00.307, Motor_102_Actual_Current, REAL, 3.3
2024-05-30 16:36:00.317, Motor_102_Actual_Power, REAL, 2.7
2024-05-30 16:36:00.331, Motor_102_Actual_Torque, REAL, 12.0
2024-05-30 16:36:00.361, Motor_102_Per_Actual_Speed, REAL, 29.33
2024-05-30 16:36:00.383, Motor_102_Per_Actual_Current, REAL, 27.51
2024-05-30 16:36:00.423, Motor_102_Per_Actual_Power, REAL, 27.01
2024-05-30 16:36:00.466, Motor_102_Per_Actual_Torque, REAL, 24.0
2024-05-30 16:36:00.504, Motor_103_Start_PB, BOOL, True
2024-05-30 16:36:00.520, Motor_103_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:00.532, Motor_103_Actual_Speed, REAL, 600.0
2024-05-30 16:36:00.566, Motor_103_Actual_Current, REAL, 4.7
2024-05-30 16:36:00.585, Motor_103_Actual_Power, REAL, 3.8
2024-05-30 16:36:00.616, Motor_103_Actual_Torque, REAL, 20.0
2024-05-30 16:36:00.628, Motor_103_Per_Actual_Speed, REAL, 40.0
2024-05-30 16:36:00.639, Motor_103_Per_Actual_Current, REAL, 39.13
2024-05-30 16:36:00.651, Motor_103_Per_Actual_Power, REAL, 38.0
2024-05-30 16:36:00.663, Motor_103_Per_Actual_Torque, REAL, 40.0
2024-05-30 16:36:00.673, Motor_104_Start_PB, BOOL, True
2024-05-30 16:36:00.683, Motor_104_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:00.697, Motor_104_Actual_Speed, REAL, 750.0
2024-05-30 16:36:00.709, Motor_104_Actual_Current, REAL, 5.9
2024-05-30 16:36:00.723, Motor_104_Actual_Power, REAL, 5.0
2024-05-30 16:36:00.754, Motor_104_Actual_Torque, REAL, 25.0
2024-05-30 16:36:00.773, Motor_104_Per_Actual_Speed, REAL, 50.0
2024-05-30 16:36:00.787, Motor_104_Per_Actual_Current, REAL, 49.13
2024-05-30 16:36:00.812, Motor_104_Per_Actual_Power, REAL, 49.95
2024-05-30 16:36:00.845, Motor_104_Per_Actual_Torque, REAL, 50.0
2024-05-30 16:36:00.872, Motor_105_Start_PB, BOOL, True
2024-05-30 16:36:00.895, Motor_105_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:00.911, Motor_105_Actual_Speed, REAL, 890.0
2024-05-30 16:36:00.934, Motor_105_Actual_Current, REAL, 7.2
2024-05-30 16:36:00.962, Motor_105_Actual_Power, REAL, 6.0
2024-05-30 16:36:00.994, Motor_105_Actual_Torque, REAL, 27.0
2024-05-30 16:36:01.009, Motor_105_Per_Actual_Speed, REAL, 59.33
2024-05-30 16:36:01.021, Motor_105_Per_Actual_Current, REAL, 59.96
2024-05-30 16:36:01.031, Motor_105_Per_Actual_Power, REAL, 59.95
2024-05-30 16:36:01.041, Motor_105_Per_Actual_Torque, REAL, 54.0
2024-05-30 16:36:01.054, Motor_106_Start_PB, BOOL, True
2024-05-30 16:36:01.064, Motor_106_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:01.075, Motor_106_Actual_Speed, REAL, 1050.0
2024-05-30 16:36:01.087, Motor_106_Actual_Current, REAL, 8.4
2024-05-30 16:36:01.098, Motor_106_Actual_Power, REAL, 6.9
2024-05-30 16:36:01.108, Motor_106_Actual_Torque, REAL, 35.0
2024-05-30 16:36:01.121, Motor_106_Per_Actual_Speed, REAL, 70.0
2024-05-30 16:36:01.131, Motor_106_Per_Actual_Current, REAL, 69.96
2024-05-30 16:36:01.142, Motor_106_Per_Actual_Power, REAL, 68.95
2024-05-30 16:36:01.155, Motor_106_Per_Actual_Torque, REAL, 70.0
2024-05-30 16:36:01.165, Motor_107_Start_PB, BOOL, True
2024-05-30 16:36:01.177, Motor_107_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:01.189, Motor_107_Actual_Speed, REAL, 1200.0
2024-05-30 16:36:01.200, Motor_107_Actual_Current, REAL, 9.4
2024-05-30 16:36:01.209, Motor_107_Actual_Power, REAL, 7.9
2024-05-30 16:36:01.223, Motor_107_Actual_Torque, REAL, 40.0
2024-05-30 16:36:01.233, Motor_107_Per_Actual_Speed, REAL, 80.0
2024-05-30 16:36:01.244, Motor_107_Per_Actual_Current, REAL, 78.29
2024-05-30 16:36:01.264, Motor_107_Per_Actual_Power, REAL, 78.95
2024-05-30 16:36:01.288, Motor_107_Per_Actual_Torque, REAL, 80.0
2024-05-30 16:36:01.308, Motor_108_Start_PB, BOOL, True
2024-05-30 16:36:01.344, Motor_108_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:01.370, Motor_108_Actual_Speed, REAL, 1350.0
2024-05-30 16:36:01.391, Motor_108_Actual_Current, REAL, 10.6
2024-05-30 16:36:01.401, Motor_108_Actual_Power, REAL, 8.8
2024-05-30 16:36:01.411, Motor_108_Actual_Torque, REAL, 45.0
2024-05-30 16:36:01.421, Motor_108_Per_Actual_Speed, REAL, 90.0
2024-05-30 16:36:01.451, Motor_108_Per_Actual_Current, REAL, 88.29
2024-05-30 16:36:01.477, Motor_108_Per_Actual_Power, REAL, 87.95
2024-05-30 16:36:01.516, Motor_108_Per_Actual_Torque, REAL, 90.0
2024-05-30 16:36:01.544, Motor_109_Start_PB, BOOL, True
2024-05-30 16:36:01.558, Motor_109_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:01.582, Motor_109_Actual_Speed, REAL, 1500.0
2024-05-30 16:36:01.600, Motor_109_Actual_Current, REAL, 11.9
2024-05-30 16:36:01.612, Motor_109_Actual_Power, REAL, 9.8
2024-05-30 16:36:01.622, Motor_109_Actual_Torque, REAL, 50.0
2024-05-30 16:36:01.632, Motor_109_Per_Actual_Speed, REAL, 100.0
2024-05-30 16:36:01.642, Motor_109_Per_Actual_Current, REAL, 99.13
2024-05-30 16:36:01.656, Motor_109_Per_Actual_Power, REAL, 97.95
2024-05-30 16:36:01.666, Motor_109_Per_Actual_Torque, REAL, 100.0
